"tenure","MonthlyCharges","Contract","PaymentMethod","InternetService","Churn"
72,66.85,"Two year","Bank transfer (automatic)","DSL","No"
65,19.9,"Two year","Mailed check","No","No"
11,35.8,"Month-to-month","Mailed check","DSL","No"
22,78.85,"Month-to-month","Mailed check","Fiber optic","No"
14,20.4,"One year","Bank transfer (automatic)","No","No"
41,74.25,"Month-to-month","Electronic check","Fiber optic","No"
17,64.8,"One year","Mailed check","DSL","No"
11,20.45,"Month-to-month","Credit card (automatic)","No","No"
15,93.35,"Month-to-month","Electronic check","Fiber optic","Yes"
1,19.9,"Month-to-month","Mailed check","No","Yes"
5,88.9,"Month-to-month","Mailed check","Fiber optic","Yes"
33,95.8,"One year","Electronic check","Fiber optic","Yes"
72,110.65,"Two year","Credit card (automatic)","Fiber optic","No"
3,40.3,"Month-to-month","Mailed check","DSL","No"
2,82,"Month-to-month","Electronic check","Fiber optic","Yes"
59,107,"One year","Credit card (automatic)","Fiber optic","No"
2,45.35,"Month-to-month","Electronic check","DSL","Yes"
71,73.35,"Two year","Credit card (automatic)","DSL","No"
5,44.8,"Month-to-month","Mailed check","DSL","No"
27,54.75,"Month-to-month","Credit card (automatic)","DSL","No"
1,52.2,"Month-to-month","Electronic check","DSL","Yes"
63,40.6,"One year","Bank transfer (automatic)","DSL","No"
46,110,"One year","Electronic check","Fiber optic","Yes"
72,55.3,"Two year","Bank transfer (automatic)","DSL","No"
34,60.85,"Month-to-month","Bank transfer (automatic)","DSL","No"
24,78.4,"One year","Electronic check","DSL","No"
72,69.65,"Two year","Bank transfer (automatic)","DSL","No"
60,59.85,"Two year","Credit card (automatic)","DSL","No"
68,76.9,"One year","Credit card (automatic)","DSL","No"
8,19.85,"Two year","Mailed check","No","No"
34,67.65,"Two year","Credit card (automatic)","DSL","No"
6,45,"Month-to-month","Credit card (automatic)","DSL","No"
2,64.2,"Month-to-month","Mailed check","DSL","No"
31,81.7,"One year","Credit card (automatic)","Fiber optic","No"
20,25.55,"Month-to-month","Bank transfer (automatic)","No","No"
1,20,"Month-to-month","Electronic check","No","No"
62,96.75,"One year","Electronic check","Fiber optic","Yes"
70,75.65,"Two year","Credit card (automatic)","Fiber optic","No"
10,98.5,"Month-to-month","Electronic check","Fiber optic","Yes"
39,23.8,"Two year","Mailed check","No","No"
46,64.2,"Two year","Credit card (automatic)","DSL","No"
6,85.35,"Month-to-month","Electronic check","Fiber optic","Yes"
72,76.8,"Two year","Bank transfer (automatic)","DSL","No"
18,55.2,"Month-to-month","Credit card (automatic)","DSL","No"
71,108.55,"Two year","Credit card (automatic)","Fiber optic","No"
40,101.3,"Month-to-month","Electronic check","Fiber optic","Yes"
1,69.55,"Month-to-month","Electronic check","Fiber optic","Yes"
58,103.25,"One year","Bank transfer (automatic)","Fiber optic","Yes"
70,104,"Two year","Credit card (automatic)","Fiber optic","Yes"
42,25.25,"Two year","Electronic check","No","No"
34,30.4,"One year","Bank transfer (automatic)","DSL","No"
5,20.05,"Month-to-month","Bank transfer (automatic)","No","No"
25,84.6,"Month-to-month","Mailed check","Fiber optic","No"
2,86.2,"Month-to-month","Mailed check","Fiber optic","Yes"
55,103.7,"One year","Bank transfer (automatic)","Fiber optic","No"
21,111.2,"Month-to-month","Electronic check","Fiber optic","Yes"
70,88,"Two year","Credit card (automatic)","Fiber optic","No"
61,106.35,"Month-to-month","Electronic check","Fiber optic","No"
43,79.15,"Two year","Credit card (automatic)","DSL","No"
47,103.1,"One year","Electronic check","Fiber optic","No"
5,63.95,"Month-to-month","Credit card (automatic)","DSL","No"
62,25.8,"Two year","Credit card (automatic)","No","No"
16,89.45,"Month-to-month","Credit card (automatic)","Fiber optic","Yes"
7,95.6,"Month-to-month","Bank transfer (automatic)","Fiber optic","Yes"
14,25.55,"Month-to-month","Mailed check","No","No"
60,90.95,"One year","Electronic check","Fiber optic","Yes"
34,44.85,"Month-to-month","Electronic check","DSL","No"
50,108.55,"One year","Electronic check","Fiber optic","Yes"
38,25.05,"Two year","Credit card (automatic)","No","No"
70,74.1,"One year","Credit card (automatic)","DSL","No"
37,88.8,"Month-to-month","Electronic check","Fiber optic","No"
4,78.85,"Month-to-month","Electronic check","Fiber optic","Yes"
60,93.25,"Month-to-month","Electronic check","Fiber optic","No"
62,71.4,"One year","Credit card (automatic)","DSL","No"
1,44.4,"Month-to-month","Mailed check","DSL","Yes"
36,79.2,"Month-to-month","Credit card (automatic)","DSL","No"
44,20.4,"Two year","Credit card (automatic)","No","No"
55,100,"One year","Electronic check","Fiber optic","Yes"
72,105,"Two year","Credit card (automatic)","Fiber optic","No"
12,19.8,"One year","Bank transfer (automatic)","No","Yes"
13,30.85,"Month-to-month","Bank transfer (automatic)","DSL","No"
1,89.9,"Month-to-month","Electronic check","Fiber optic","Yes"
15,20.55,"One year","Mailed check","No","No"
65,84.85,"Two year","Bank transfer (automatic)","DSL","No"
12,33.15,"One year","Credit card (automatic)","DSL","No"
72,92,"Two year","Credit card (automatic)","DSL","No"
72,89.8,"Two year","Credit card (automatic)","DSL","No"
72,115.8,"Two year","Bank transfer (automatic)","Fiber optic","No"
52,85.15,"Two year","Mailed check","DSL","No"
2,24.85,"Month-to-month","Mailed check","No","No"
5,64.35,"Month-to-month","Electronic check","DSL","No"
68,20.5,"Two year","Credit card (automatic)","No","No"
62,100.15,"One year","Electronic check","Fiber optic","Yes"
72,86.05,"Two year","Credit card (automatic)","DSL","No"
1,50.8,"Month-to-month","Electronic check","DSL","Yes"
66,89,"One year","Electronic check","Fiber optic","No"
72,64.8,"Two year","Credit card (automatic)","DSL","No"
26,19.8,"One year","Credit card (automatic)","No","No"
64,93.4,"Two year","Bank transfer (automatic)","Fiber optic","No"
20,73.65,"Month-to-month","Electronic check","Fiber optic","Yes"
3,95.1,"Month-to-month","Electronic check","Fiber optic","Yes"
22,94.65,"Month-to-month","Credit card (automatic)","Fiber optic","Yes"
4,80.6,"Month-to-month","Mailed check","Fiber optic","Yes"
62,39,"Two year","Bank transfer (automatic)","DSL","No"
5,20.5,"Month-to-month","Mailed check","No","No"
59,85.55,"One year","Electronic check","Fiber optic","Yes"
3,26.4,"Two year","Mailed check","No","No"
72,98.2,"Two year","Bank transfer (automatic)","Fiber optic","No"
57,97.55,"One year","Credit card (automatic)","Fiber optic","No"
66,19.95,"Two year","Credit card (automatic)","No","No"
60,50.8,"Month-to-month","Electronic check","DSL","Yes"
45,99.7,"Two year","Bank transfer (automatic)","Fiber optic","No"
3,34.8,"Month-to-month","Credit card (automatic)","DSL","No"
15,105.1,"Month-to-month","Electronic check","Fiber optic","Yes"
51,60.15,"One year","Bank transfer (automatic)","DSL","No"
60,64.75,"One year","Electronic check","DSL","No"
33,54.65,"Month-to-month","Bank transfer (automatic)","DSL","No"
10,110.1,"Month-to-month","Electronic check","Fiber optic","Yes"
26,19.3,"One year","Credit card (automatic)","No","No"
6,83.9,"Month-to-month","Electronic check","Fiber optic","Yes"
67,111.25,"One year","Electronic check","Fiber optic","No"
49,35.8,"One year","Credit card (automatic)","DSL","No"
1,20.05,"Month-to-month","Mailed check","No","No"
7,84.35,"Month-to-month","Electronic check","Fiber optic","No"
27,110.5,"One year","Bank transfer (automatic)","Fiber optic","No"
37,91.2,"One year","Credit card (automatic)","Fiber optic","No"
63,100.55,"Month-to-month","Electronic check","Fiber optic","Yes"
31,89.3,"Month-to-month","Electronic check","Fiber optic","No"
50,103.85,"Month-to-month","Bank transfer (automatic)","Fiber optic","Yes"
32,81.1,"Month-to-month","Credit card (automatic)","Fiber optic","No"
1,24.6,"Month-to-month","Electronic check","DSL","Yes"
63,81.2,"One year","Credit card (automatic)","Fiber optic","No"
30,94.3,"Month-to-month","Credit card (automatic)","Fiber optic","No"
71,116.1,"Two year","Bank transfer (automatic)","Fiber optic","No"
53,105.55,"Two year","Electronic check","Fiber optic","No"
12,98.9,"Month-to-month","Bank transfer (automatic)","Fiber optic","Yes"
50,94.4,"Month-to-month","Credit card (automatic)","Fiber optic","No"
2,19.5,"Month-to-month","Mailed check","No","No"
9,98.3,"Month-to-month","Credit card (automatic)","Fiber optic","Yes"
17,93.85,"Month-to-month","Electronic check","Fiber optic","Yes"
56,105.6,"One year","Credit card (automatic)","Fiber optic","No"
67,81.35,"Two year","Credit card (automatic)","DSL","No"
9,100.5,"Month-to-month","Electronic check","Fiber optic","Yes"
4,56.4,"Month-to-month","Electronic check","DSL","No"
19,65.35,"One year","Bank transfer (automatic)","DSL","No"
8,19.95,"Month-to-month","Mailed check","No","No"
71,111.25,"Two year","Electronic check","Fiber optic","No"
10,72.85,"Month-to-month","Electronic check","Fiber optic","Yes"
15,89,"Month-to-month","Credit card (automatic)","Fiber optic","No"
72,106.1,"One year","Bank transfer (automatic)","Fiber optic","No"
12,20.05,"One year","Credit card (automatic)","No","No"
72,25.2,"Two year","Bank transfer (automatic)","No","No"
1,73.55,"Month-to-month","Electronic check","Fiber optic","Yes"
23,75.4,"Month-to-month","Bank transfer (automatic)","Fiber optic","No"
72,65.55,"Two year","Bank transfer (automatic)","DSL","No"
26,80.7,"Month-to-month","Electronic check","Fiber optic","No"
21,104.55,"One year","Mailed check","Fiber optic","No"
60,24.15,"One year","Bank transfer (automatic)","No","No"
12,20.45,"Month-to-month","Mailed check","No","No"
16,75.4,"Month-to-month","Electronic check","Fiber optic","No"
63,79.7,"One year","Credit card (automatic)","DSL","No"
22,81.7,"Month-to-month","Electronic check","Fiber optic","No"
32,76.3,"Month-to-month","Bank transfer (automatic)","DSL","No"
3,79.4,"Month-to-month","Electronic check","Fiber optic","Yes"
13,81.15,"Month-to-month","Electronic check","Fiber optic","Yes"
68,103.75,"Two year","Credit card (automatic)","Fiber optic","No"
30,86.45,"One year","Electronic check","Fiber optic","No"
16,75.1,"Month-to-month","Bank transfer (automatic)","Fiber optic","No"
33,80.6,"Two year","Bank transfer (automatic)","Fiber optic","No"
72,19.3,"Two year","Credit card (automatic)","No","No"
4,84.6,"Month-to-month","Electronic check","Fiber optic","Yes"
12,33.6,"One year","Mailed check","DSL","No"
4,83.25,"Month-to-month","Electronic check","Fiber optic","No"
0,80.85,"Two year","Mailed check","DSL","No"
6,79.05,"Month-to-month","Electronic check","Fiber optic","Yes"
65,108.05,"One year","Credit card (automatic)","Fiber optic","No"
15,19.9,"Month-to-month","Mailed check","No","No"
24,21.05,"One year","Bank transfer (automatic)","No","No"
13,30.15,"Month-to-month","Electronic check","DSL","No"
24,79.85,"Month-to-month","Credit card (automatic)","Fiber optic","No"
72,65.5,"Two year","Bank transfer (automatic)","DSL","No"
54,104.1,"Month-to-month","Bank transfer (automatic)","Fiber optic","No"
3,74.4,"Month-to-month","Bank transfer (automatic)","Fiber optic","Yes"
4,20.5,"Month-to-month","Mailed check","No","No"
32,91.35,"Month-to-month","Mailed check","Fiber optic","No"
35,99.05,"Month-to-month","Electronic check","Fiber optic","Yes"
35,20.5,"Two year","Bank transfer (automatic)","No","No"
2,44.95,"Month-to-month","Mailed check","DSL","Yes"
8,75.6,"Month-to-month","Electronic check","Fiber optic","No"
22,55.1,"Month-to-month","Mailed check","DSL","No"
15,58.95,"Month-to-month","Electronic check","DSL","No"
22,95.1,"Month-to-month","Electronic check","Fiber optic","No"
1,44.7,"Month-to-month","Credit card (automatic)","DSL","Yes"
71,25.45,"Two year","Bank transfer (automatic)","No","No"
4,56.75,"Month-to-month","Electronic check","DSL","No"
25,81.75,"Month-to-month","Bank transfer (automatic)","DSL","No"
32,86.1,"Month-to-month","Electronic check","Fiber optic","No"
7,29.8,"Month-to-month","Bank transfer (automatic)","DSL","No"
17,20.5,"One year","Mailed check","No","No"
8,60.9,"Month-to-month","Bank transfer (automatic)","DSL","No"
56,73.25,"Two year","Bank transfer (automatic)","DSL","No"
1,45.7,"Month-to-month","Mailed check","DSL","Yes"
8,100.3,"Month-to-month","Credit card (automatic)","Fiber optic","Yes"
7,19.25,"Month-to-month","Electronic check","No","Yes"
3,20.85,"Month-to-month","Mailed check","No","No"
71,77.35,"Two year","Credit card (automatic)","DSL","No"
2,96,"Month-to-month","Electronic check","Fiber optic","Yes"
1,90.55,"Month-to-month","Electronic check","Fiber optic","Yes"
49,93.85,"Month-to-month","Bank transfer (automatic)","Fiber optic","No"
58,70.1,"Two year","Bank transfer (automatic)","DSL","No"
44,30.35,"Month-to-month","Electronic check","DSL","Yes"
59,75.95,"Two year","Credit card (automatic)","DSL","No"
71,108.05,"Two year","Electronic check","Fiber optic","Yes"
1,69.9,"Month-to-month","Electronic check","Fiber optic","Yes"
11,75.25,"Month-to-month","Electronic check","Fiber optic","No"
62,103.75,"One year","Electronic check","Fiber optic","Yes"
35,54.95,"One year","Bank transfer (automatic)","DSL","No"
20,19.5,"Month-to-month","Bank transfer (automatic)","No","No"
40,19.6,"Two year","Mailed check","No","No"
39,47.85,"One year","Electronic check","DSL","No"
1,86.6,"Month-to-month","Electronic check","Fiber optic","Yes"
72,23.75,"Two year","Bank transfer (automatic)","No","No"
33,80.6,"Month-to-month","Bank transfer (automatic)","Fiber optic","Yes"
12,43.8,"Month-to-month","Bank transfer (automatic)","DSL","No"
1,19.75,"Month-to-month","Bank transfer (automatic)","No","No"
27,19.15,"Month-to-month","Mailed check","No","No"
34,19.6,"One year","Credit card (automatic)","No","No"
56,80.3,"Two year","Bank transfer (automatic)","Fiber optic","No"
58,24.35,"Two year","Credit card (automatic)","No","No"
22,25.25,"Two year","Credit card (automatic)","No","No"
10,26.1,"Two year","Credit card (automatic)","No","No"
13,20,"Two year","Credit card (automatic)","No","No"
35,85.3,"Month-to-month","Credit card (automatic)","Fiber optic","Yes"
34,70,"Month-to-month","Credit card (automatic)","Fiber optic","Yes"
4,94.3,"Month-to-month","Electronic check","Fiber optic","Yes"
72,20.7,"Two year","Bank transfer (automatic)","No","No"
2,70.3,"Month-to-month","Electronic check","DSL","No"
7,95.35,"Month-to-month","Electronic check","Fiber optic","Yes"
27,75.5,"Month-to-month","Electronic check","Fiber optic","Yes"
4,69.55,"Month-to-month","Mailed check","Fiber optic","No"
37,19.85,"Two year","Mailed check","No","No"
21,20,"Month-to-month","Mailed check","No","No"
53,95.85,"One year","Credit card (automatic)","Fiber optic","No"
18,90.1,"Month-to-month","Electronic check","Fiber optic","Yes"
2,68.95,"Month-to-month","Electronic check","Fiber optic","Yes"
32,99.55,"Month-to-month","Credit card (automatic)","Fiber optic","Yes"
23,20.75,"One year","Electronic check","No","No"
3,50.15,"Month-to-month","Mailed check","DSL","No"
71,58.65,"Two year","Mailed check","DSL","No"
9,95.9,"Month-to-month","Bank transfer (automatic)","Fiber optic","No"
1,49.5,"Month-to-month","Electronic check","DSL","No"
18,57.45,"Month-to-month","Electronic check","DSL","Yes"
12,53.65,"One year","Credit card (automatic)","DSL","Yes"
71,80.1,"Two year","Mailed check","DSL","No"
64,24.4,"One year","Bank transfer (automatic)","No","No"
4,40.05,"Month-to-month","Electronic check","DSL","No"
23,19.5,"Month-to-month","Mailed check","No","No"
39,51.05,"Month-to-month","Credit card (automatic)","DSL","No"
28,54.35,"One year","Mailed check","DSL","No"
5,84.7,"Month-to-month","Electronic check","Fiber optic","No"
45,86.1,"Month-to-month","Electronic check","Fiber optic","No"
37,70.35,"Month-to-month","Mailed check","Fiber optic","No"
60,110,"Two year","Bank transfer (automatic)","Fiber optic","No"
8,100.6,"Month-to-month","Electronic check","Fiber optic","Yes"
47,94.9,"One year","Credit card (automatic)","Fiber optic","No"
26,83.75,"Month-to-month","Electronic check","Fiber optic","Yes"
3,88.3,"Month-to-month","Mailed check","Fiber optic","Yes"
50,69.75,"Month-to-month","Bank transfer (automatic)","Fiber optic","No"
27,71.6,"Month-to-month","Bank transfer (automatic)","DSL","No"
8,92.1,"Month-to-month","Electronic check","Fiber optic","Yes"
62,23.65,"Two year","Bank transfer (automatic)","No","No"
71,81.85,"Two year","Bank transfer (automatic)","DSL","No"
66,25.1,"Two year","Mailed check","No","No"
68,114.7,"Two year","Bank transfer (automatic)","Fiber optic","No"
13,49.15,"Month-to-month","Electronic check","DSL","No"
56,80.9,"One year","Electronic check","Fiber optic","No"
38,79.45,"Month-to-month","Electronic check","Fiber optic","Yes"
14,90.45,"Month-to-month","Credit card (automatic)","Fiber optic","Yes"
16,19.3,"One year","Bank transfer (automatic)","No","No"
14,70.2,"Month-to-month","Electronic check","Fiber optic","No"
32,69.75,"Month-to-month","Bank transfer (automatic)","Fiber optic","Yes"
8,54.25,"One year","Bank transfer (automatic)","DSL","No"
43,99.3,"Month-to-month","Bank transfer (automatic)","Fiber optic","No"
52,74,"One year","Credit card (automatic)","DSL","No"
3,50.25,"Month-to-month","Mailed check","DSL","No"
29,19.8,"One year","Mailed check","No","No"
1,19.65,"Month-to-month","Mailed check","No","Yes"
12,43.65,"Month-to-month","Electronic check","DSL","Yes"
16,35.5,"Month-to-month","Credit card (automatic)","DSL","No"
40,80.75,"One year","Mailed check","DSL","No"
5,39.5,"Month-to-month","Electronic check","DSL","Yes"
40,97.1,"Month-to-month","Bank transfer (automatic)","Fiber optic","Yes"
36,19.55,"One year","Mailed check","No","No"
5,80,"Month-to-month","Electronic check","Fiber optic","Yes"
10,84.7,"Month-to-month","Mailed check","Fiber optic","Yes"
2,89.55,"Month-to-month","Bank transfer (automatic)","Fiber optic","Yes"
23,90.6,"Month-to-month","Electronic check","Fiber optic","Yes"
26,20.05,"One year","Bank transfer (automatic)","No","No"
72,112.4,"Two year","Electronic check","Fiber optic","No"
34,50.2,"Month-to-month","Bank transfer (automatic)","DSL","No"
10,62.25,"Month-to-month","Bank transfer (automatic)","DSL","No"
14,55.7,"One year","Mailed check","DSL","No"
23,90.05,"Month-to-month","Bank transfer (automatic)","Fiber optic","Yes"
47,19.65,"Two year","Mailed check","No","No"
24,89.25,"Month-to-month","Electronic check","Fiber optic","No"
49,99.05,"Month-to-month","Bank transfer (automatic)","Fiber optic","Yes"
20,54,"One year","Mailed check","DSL","No"
2,69.75,"Month-to-month","Bank transfer (automatic)","Fiber optic","Yes"
2,49.05,"Month-to-month","Credit card (automatic)","DSL","Yes"
22,56.75,"Two year","Bank transfer (automatic)","DSL","No"
7,98.05,"Month-to-month","Bank transfer (automatic)","Fiber optic","Yes"
1,21.1,"Month-to-month","Mailed check","No","No"
59,96.65,"Month-to-month","Bank transfer (automatic)","Fiber optic","No"
58,24.5,"One year","Credit card (automatic)","No","No"
41,114.5,"Month-to-month","Bank transfer (automatic)","Fiber optic","Yes"
59,79.2,"Two year","Credit card (automatic)","Fiber optic","No"
3,69.55,"Month-to-month","Electronic check","Fiber optic","No"
32,20.05,"Two year","Bank transfer (automatic)","No","No"
46,98.85,"Month-to-month","Electronic check","Fiber optic","No"
0,25.75,"Two year","Mailed check","No","No"
2,80.95,"Month-to-month","Electronic check","Fiber optic","Yes"
52,19.6,"One year","Credit card (automatic)","No","No"
13,74.3,"Month-to-month","Electronic check","Fiber optic","Yes"
11,89.7,"Month-to-month","Bank transfer (automatic)","Fiber optic","Yes"
32,87.65,"Month-to-month","Bank transfer (automatic)","Fiber optic","No"
17,100.45,"Month-to-month","Credit card (automatic)","Fiber optic","Yes"
16,74.75,"Month-to-month","Credit card (automatic)","Fiber optic","No"
51,107.45,"One year","Bank transfer (automatic)","Fiber optic","No"
29,75.35,"One year","Bank transfer (automatic)","DSL","No"
70,64.95,"Two year","Credit card (automatic)","DSL","No"
71,100.45,"Two year","Electronic check","Fiber optic","No"
41,68.5,"One year","Bank transfer (automatic)","DSL","No"
1,80.55,"Month-to-month","Electronic check","Fiber optic","No"
7,81.25,"Month-to-month","Bank transfer (automatic)","DSL","No"
25,90.4,"One year","Electronic check","Fiber optic","Yes"
67,89.55,"One year","Electronic check","Fiber optic","No"
5,55.7,"Month-to-month","Mailed check","DSL","No"
15,24.8,"Month-to-month","Electronic check","No","No"
20,20,"Month-to-month","Electronic check","No","No"
3,56.15,"Month-to-month","Mailed check","DSL","Yes"
54,105.2,"One year","Electronic check","Fiber optic","No"
42,19.55,"One year","Mailed check","No","No"
9,79.75,"Month-to-month","Electronic check","Fiber optic","No"
63,97.45,"Two year","Bank transfer (automatic)","Fiber optic","No"
69,24.25,"Two year","Bank transfer (automatic)","No","No"
69,24.6,"Two year","Credit card (automatic)","No","No"
40,50.15,"Month-to-month","Mailed check","DSL","No"
60,39.6,"Two year","Bank transfer (automatic)","DSL","No"
4,94.4,"Month-to-month","Bank transfer (automatic)","Fiber optic","Yes"
71,89.85,"Two year","Mailed check","DSL","No"
37,78.95,"Month-to-month","Credit card (automatic)","Fiber optic","Yes"
32,98.85,"Month-to-month","Credit card (automatic)","Fiber optic","No"
39,53.85,"Two year","Credit card (automatic)","DSL","No"
38,24.25,"One year","Electronic check","No","No"
52,89.45,"Two year","Credit card (automatic)","Fiber optic","No"
48,105.25,"Month-to-month","Credit card (automatic)","Fiber optic","No"
70,59.5,"Two year","Bank transfer (automatic)","DSL","No"
20,70.55,"Month-to-month","Credit card (automatic)","Fiber optic","No"
50,82.5,"One year","Credit card (automatic)","DSL","No"
19,44.85,"One year","Credit card (automatic)","DSL","Yes"
25,61.6,"One year","Bank transfer (automatic)","DSL","No"
12,49.05,"Month-to-month","Bank transfer (automatic)","DSL","No"
39,105.65,"Month-to-month","Electronic check","Fiber optic","Yes"
7,74.65,"Month-to-month","Mailed check","Fiber optic","Yes"
23,66.25,"One year","Mailed check","DSL","No"
27,19.4,"Month-to-month","Electronic check","No","No"
47,86.05,"Month-to-month","Credit card (automatic)","Fiber optic","No"
26,19.15,"Two year","Credit card (automatic)","No","No"
14,64.7,"Month-to-month","Bank transfer (automatic)","DSL","Yes"
11,104.05,"Month-to-month","Bank transfer (automatic)","Fiber optic","Yes"
2,19.25,"Month-to-month","Mailed check","No","No"
26,81.95,"Month-to-month","Electronic check","Fiber optic","No"
72,114.65,"Two year","Bank transfer (automatic)","Fiber optic","No"
63,20,"Two year","Credit card (automatic)","No","No"
71,19.8,"Two year","Mailed check","No","No"
11,65.15,"Month-to-month","Bank transfer (automatic)","DSL","No"
14,19.65,"One year","Mailed check","No","No"
13,88.95,"Two year","Credit card (automatic)","DSL","No"
6,20.2,"Month-to-month","Mailed check","No","No"
11,75.2,"Month-to-month","Credit card (automatic)","Fiber optic","No"
18,56.8,"Month-to-month","Credit card (automatic)","DSL","No"
1,35.55,"Month-to-month","Electronic check","DSL","Yes"
32,75.5,"Month-to-month","Bank transfer (automatic)","Fiber optic","No"
29,35.6,"One year","Mailed check","DSL","No"
3,60.25,"Month-to-month","Electronic check","DSL","No"
2,95.15,"Month-to-month","Electronic check","Fiber optic","Yes"
13,96.65,"Month-to-month","Mailed check","Fiber optic","Yes"
41,40.35,"Month-to-month","Electronic check","DSL","No"
1,18.85,"Month-to-month","Electronic check","No","No"
7,54.85,"Month-to-month","Mailed check","DSL","No"
52,64.3,"One year","Mailed check","DSL","No"
45,24.65,"Two year","Bank transfer (automatic)","No","No"
70,76.1,"Two year","Credit card (automatic)","DSL","No"
53,18.7,"Two year","Mailed check","No","No"
62,97.95,"One year","Credit card (automatic)","Fiber optic","No"
60,94.1,"Month-to-month","Credit card (automatic)","Fiber optic","No"
3,80.4,"Month-to-month","Electronic check","Fiber optic","Yes"
23,95.1,"Month-to-month","Electronic check","Fiber optic","No"
1,31.35,"Month-to-month","Mailed check","DSL","Yes"
67,72.35,"One year","Bank transfer (automatic)","DSL","No"
12,89.75,"Month-to-month","Bank transfer (automatic)","Fiber optic","Yes"
71,82.7,"Two year","Bank transfer (automatic)","DSL","No"
25,19.9,"One year","Credit card (automatic)","No","No"
5,53.8,"Month-to-month","Electronic check","DSL","No"
26,51.55,"One year","Credit card (automatic)","DSL","No"
1,19.65,"One year","Mailed check","No","No"
70,44.05,"One year","Credit card (automatic)","DSL","No"
72,114,"Two year","Electronic check","Fiber optic","No"
60,94.4,"One year","Electronic check","Fiber optic","Yes"
32,100.4,"Month-to-month","Electronic check","Fiber optic","No"
1,19.85,"Month-to-month","Electronic check","No","Yes"
14,54.25,"One year","Mailed check","DSL","No"
13,80,"Month-to-month","Credit card (automatic)","Fiber optic","No"
6,109.9,"Month-to-month","Credit card (automatic)","Fiber optic","Yes"
46,79.2,"Two year","Mailed check","DSL","No"
15,101.35,"Month-to-month","Electronic check","Fiber optic","Yes"
43,94.3,"Month-to-month","Electronic check","Fiber optic","No"
39,49.8,"Two year","Bank transfer (automatic)","DSL","No"
21,60.05,"Month-to-month","Bank transfer (automatic)","DSL","Yes"
57,53.75,"Month-to-month","Electronic check","DSL","No"
53,93.45,"One year","Electronic check","Fiber optic","No"
18,87.9,"Month-to-month","Mailed check","Fiber optic","No"
1,60.15,"Month-to-month","Electronic check","DSL","Yes"
58,61.05,"One year","Bank transfer (automatic)","DSL","No"
71,104.05,"Two year","Bank transfer (automatic)","Fiber optic","No"
35,99.25,"One year","Electronic check","Fiber optic","No"
3,85.7,"Month-to-month","Credit card (automatic)","Fiber optic","No"
38,104.85,"One year","Electronic check","Fiber optic","No"
35,69.15,"Two year","Credit card (automatic)","DSL","No"
7,90.45,"Month-to-month","Electronic check","Fiber optic","Yes"
47,74.45,"Two year","Mailed check","DSL","No"
14,50.45,"Month-to-month","Electronic check","DSL","No"
20,60,"Month-to-month","Electronic check","DSL","No"
66,85.25,"Two year","Electronic check","DSL","No"
15,19.45,"Month-to-month","Credit card (automatic)","No","No"
42,20.75,"Two year","Bank transfer (automatic)","No","No"
17,78.9,"Month-to-month","Electronic check","Fiber optic","No"
37,104.5,"One year","Credit card (automatic)","Fiber optic","No"
12,49.4,"Month-to-month","Electronic check","DSL","No"
53,94.25,"One year","Bank transfer (automatic)","Fiber optic","Yes"
60,25,"Two year","Mailed check","No","No"
18,25.55,"Month-to-month","Credit card (automatic)","DSL","No"
1,74.9,"Month-to-month","Electronic check","Fiber optic","Yes"
3,70.15,"Month-to-month","Electronic check","Fiber optic","No"
9,69.4,"Month-to-month","Credit card (automatic)","DSL","No"
1,80.25,"Month-to-month","Electronic check","Fiber optic","Yes"
56,93.15,"One year","Electronic check","Fiber optic","No"
17,69,"Month-to-month","Electronic check","Fiber optic","Yes"
11,66.35,"Month-to-month","Electronic check","DSL","Yes"
7,69.55,"Month-to-month","Electronic check","Fiber optic","No"
69,20.2,"Two year","Bank transfer (automatic)","No","No"
19,86,"Month-to-month","Bank transfer (automatic)","Fiber optic","Yes"
3,80.3,"Month-to-month","Electronic check","Fiber optic","Yes"
54,20.4,"Two year","Credit card (automatic)","No","No"
62,23.75,"One year","Credit card (automatic)","No","No"
24,90.55,"Month-to-month","Credit card (automatic)","Fiber optic","Yes"
62,70.45,"Month-to-month","Credit card (automatic)","DSL","No"
17,65.75,"Month-to-month","Bank transfer (automatic)","DSL","No"
9,24.6,"Month-to-month","Mailed check","DSL","No"
64,69.25,"Two year","Mailed check","DSL","No"
2,75.9,"Month-to-month","Electronic check","Fiber optic","Yes"
1,45.85,"Month-to-month","Mailed check","DSL","Yes"
16,49.95,"Month-to-month","Electronic check","DSL","Yes"
72,24.65,"Two year","Bank transfer (automatic)","No","No"
30,90.4,"One year","Bank transfer (automatic)","Fiber optic","No"
49,100.85,"Month-to-month","Mailed check","Fiber optic","No"
61,75.35,"Two year","Credit card (automatic)","DSL","No"
47,87.2,"Month-to-month","Electronic check","Fiber optic","No"
20,64.4,"Month-to-month","Credit card (automatic)","DSL","No"
34,78.3,"Month-to-month","Electronic check","Fiber optic","Yes"
70,24.7,"Two year","Bank transfer (automatic)","No","No"
54,105.85,"One year","Electronic check","Fiber optic","No"
61,98.3,"One year","Mailed check","Fiber optic","No"
3,76.95,"Month-to-month","Electronic check","Fiber optic","Yes"
13,19.45,"One year","Mailed check","No","No"
16,96.15,"Month-to-month","Electronic check","Fiber optic","Yes"
